  Run#   Cultivar     DAYL      Srad     Tmean        Vt      SumRFi      ADAP      ADOY
   124   Gen=1        15.5      21.5      18.0      1.60     0.00000     -99.0       -99
   125   Gen=1        15.5      21.5      19.0      1.60     0.00000     -99.0       -99
   126   Gen=1        15.5      21.5      20.0      1.60     0.00000     -99.0       -99
   127   Gen=1        15.5      21.5      21.0      1.60     0.00000     -99.0       -99
   128   Gen=1        15.5      21.5      22.0      1.60     0.00000     -99.0       -99
   129   Gen=1        15.5      21.5      23.0      1.60     0.00000     -99.0       -99
   130   Gen=1        15.5      21.5      24.0      1.60     0.00000     -99.0       -99
   131   Gen=1        15.5      21.5      25.0      1.60     0.00000     -99.0       -99
   132   Gen=1        15.5      21.5      26.0      1.60     0.00000     -99.0       -99
   133   Gen=1        15.5      21.5      27.0      1.60     0.00000     -99.0       -99
   134   Gen=1        15.5      21.5      28.0      1.60     0.00000     -99.0       -99
   135   Gen=1        15.5      21.5      29.0      1.60     0.00000     -99.0       -99
   136   Gen=1        16.0      21.5      15.0      1.60     0.00000     -99.0       -99
   137   Gen=1        16.0      21.5      16.0      1.60     0.00000     -99.0       -99
   138   Gen=1        16.0      21.5      17.0      1.60     0.00000     -99.0       -99
   139   Gen=1        16.0      21.5      18.0      1.60     0.00000     -99.0       -99
   140   Gen=1        16.0      21.5      19.0      1.60     0.00000     -99.0       -99
   141   Gen=1        16.0      21.5      20.0      1.60     0.00000     -99.0       -99
   142   Gen=1        16.0      21.5      21.0      1.60     0.00000     -99.0       -99
   143   Gen=1        16.0      21.5      22.0      1.60     0.00000     -99.0       -99
   144   Gen=1        16.0      21.5      23.0      1.60     0.00000     -99.0       -99
   145   Gen=1        16.0      21.5      24.0      1.60     0.00000     -99.0       -99
   146   Gen=1        16.0      21.5      25.0      1.60     0.00000     -99.0       -99
   147   Gen=1        16.0      21.5      26.0      1.60     0.00000     -99.0       -99
   148   Gen=1        16.0      21.5      27.0      1.60     0.00000     -99.0       -99
